,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
0,0,-149.0663242,2024-12-10 18:32:43.391532,2024-12-10 18:36:05.154033,0 days 00:03:21.762501,100,10000,0.98,0.009378611290199644,medium,0.8430769594383828,ornstein-uhlenbeck,0.02,8,COMPLETE
1,1,-991.7530663999999,2024-12-10 18:36:05.154582,2024-12-10 18:37:36.936149,0 days 00:01:31.781567,100,1000000,0.98,0.04089872542945198,small,0.6275057552436965,normal,0.001,16,COMPLETE
2,2,-1048.5498422,2024-12-10 18:37:36.936644,2024-12-10 18:40:13.955042,0 days 00:02:37.018398,128,1000000,0.98,1.5918743300105872e-05,medium,0.9326833999083245,ornstein-uhlenbeck,0.005,1,COMPLETE
3,3,-147.41730760000002,2024-12-10 18:40:13.955551,2024-12-10 18:42:58.225592,0 days 00:02:44.270041,32,1000000,0.98,0.0011308433411968254,medium,0.5489419609237923,ornstein-uhlenbeck,0.005,1,COMPLETE
4,4,-1388.456876,2024-12-10 18:42:58.226057,2024-12-10 18:46:01.822562,0 days 00:03:03.596505,32,10000,0.98,0.013815084639281881,medium,0.7243927522630079,normal,0.08,16,COMPLETE
5,5,-152.0875128,2024-12-10 18:46:01.823045,2024-12-10 18:49:29.579833,0 days 00:03:27.756788,100,100000,0.98,0.012427695786813964,medium,0.8933497487677735,ornstein-uhlenbeck,0.005,4,COMPLETE
6,6,-152.3351418,2024-12-10 18:49:29.580310,2024-12-10 18:53:28.384969,0 days 00:03:58.804659,128,1000000,0.98,5.352789783801343e-05,big,0.9805260882095511,ornstein-uhlenbeck,0.01,32,COMPLETE
7,7,-145.9356124,2024-12-10 18:53:28.385538,2024-12-10 19:14:19.524689,0 days 00:20:51.139151,2048,100000,0.98,0.001312211086603176,medium,0.11837464009203724,,0.01,16,COMPLETE
8,8,-145.5451854,2024-12-10 19:14:19.525315,2024-12-10 19:16:34.476164,0 days 00:02:14.950849,64,1000000,0.98,0.0001961889603977891,medium,0.8512031228683596,ornstein-uhlenbeck,0.005,4,COMPLETE
9,9,-155.56684959999998,2024-12-10 19:16:34.476654,2024-12-10 19:45:57.780239,0 days 00:29:23.303585,2048,10000,0.98,0.0001290751873066785,big,0.08706095540847247,,0.001,8,COMPLETE
10,10,-153.4708486,2024-12-10 19:45:57.780894,2024-12-10 19:48:35.070879,0 days 00:02:37.289985,64,1000000,0.98,0.0005967694361579136,medium,0.8625874739423867,ornstein-uhlenbeck,0.001,16,PRUNED
11,11,-148.30731959999997,2024-12-10 19:48:35.071133,2024-12-10 19:52:39.176013,0 days 00:04:04.104880,256,100000,0.98,0.006247949806563234,medium,0.15196822260876441,,0.01,64,COMPLETE
12,12,-1388.456876,2024-12-10 19:52:39.176550,2024-12-10 20:13:10.733873,0 days 00:20:31.557323,2048,100000,0.98,0.01669388638588124,medium,0.023638139984400952,,0.08,16,PRUNED
13,13,-178.62015420000003,2024-12-10 20:13:10.734156,2024-12-10 20:14:42.090716,0 days 00:01:31.356560,64,1000000,0.98,0.019163519419838446,small,0.9658953916224338,ornstein-uhlenbeck,0.005,4,PRUNED
14,14,-144.9685024,2024-12-10 20:14:42.090952,2024-12-10 20:33:46.088289,0 days 00:19:03.997337,2048,1000000,0.98,6.642016241822358e-05,medium,0.25988142775619055,normal,0.01,16,COMPLETE
15,15,-149.52462380000003,2024-12-10 20:33:46.088967,2024-12-10 20:37:20.711917,0 days 00:03:34.622950,256,1000000,0.98,4.80522412187069e-05,medium,0.10672486755497756,normal,0.01,32,COMPLETE
16,16,-1103.5957358,2024-12-10 20:37:20.712453,2024-12-10 21:07:21.542181,0 days 00:30:00.829728,2048,1000000,0.98,1.0660109023715177e-05,big,0.5660638419512001,normal,0.01,1,PRUNED
17,17,-145.98075580000003,2024-12-10 21:07:21.542486,2024-12-10 21:26:43.547477,0 days 00:19:22.004991,2048,1000000,0.98,3.545689840457814e-05,medium,0.5448780213117788,normal,0.005,16,COMPLETE
18,18,-1044.3921204,2024-12-10 21:26:43.548216,2024-12-10 21:28:51.533786,0 days 00:02:07.985570,64,1000000,0.98,1.9685440250931043e-05,medium,0.9322150213115892,ornstein-uhlenbeck,0.02,4,PRUNED
19,19,-161.32656200000002,2024-12-10 21:28:51.534041,2024-12-10 21:31:29.790006,0 days 00:02:38.255965,2048,1000000,0.98,0.0006307252833156657,small,0.052929307801539816,ornstein-uhlenbeck,0.001,16,PRUNED
20,20,-147.2333984,2024-12-10 21:31:29.790256,2024-12-10 21:34:26.388728,0 days 00:02:56.598472,64,1000000,0.98,0.00017441444163677548,big,0.5640107356701514,ornstein-uhlenbeck,0.05,64,COMPLETE
21,21,-885.3049790000001,2024-12-10 21:34:26.389250,2024-12-10 21:53:27.098568,0 days 00:19:00.709318,2048,1000000,0.98,1.5052427919647736e-05,medium,0.1614576408790003,,0.01,512,PRUNED
22,22,-145.55582180000002,2024-12-10 21:53:27.098831,2024-12-10 21:55:40.040123,0 days 00:02:12.941292,16,100000,0.98,0.00030017432501648427,medium,0.11932441603417217,normal,0.01,16,COMPLETE
23,23,-149.013183,2024-12-10 21:55:40.040618,2024-12-10 21:58:22.552843,0 days 00:02:42.512225,16,100000,0.98,0.002500277849613159,medium,0.2802227229370496,normal,0.01,128,PRUNED
24,24,-148.1717696,2024-12-10 21:58:22.553101,2024-12-10 22:06:45.349362,0 days 00:08:22.796261,512,100000,0.98,4.622700966145631e-05,big,0.10201385522040188,normal,0.01,512,COMPLETE
25,25,-1663.2212909999998,2024-12-10 22:06:45.350051,2024-12-10 22:08:08.143161,0 days 00:01:22.793110,64,100000,0.98,2.2682753453707984e-05,small,0.980993804908388,normal,0.005,4,PRUNED
26,26,-708.3413172,2024-12-10 22:08:08.143439,2024-12-10 22:27:44.489417,0 days 00:19:36.345978,2048,100000,0.98,2.3307983974067575e-05,medium,0.10678865739280653,normal,0.02,8,PRUNED
27,27,-146.998019,2024-12-10 22:27:44.489716,2024-12-10 22:29:54.304219,0 days 00:02:09.814503,32,10000,0.98,0.00029597314443686356,medium,0.2016415991008932,normal,0.01,16,COMPLETE
28,28,-145.9078062,2024-12-10 22:29:54.304721,2024-12-10 22:32:17.072890,0 days 00:02:22.768169,64,1000000,0.98,0.00035350405469650127,medium,0.16233182719768016,normal,0.02,16,COMPLETE
29,29,-283.876818,2024-12-10 22:32:17.074296,2024-12-10 22:35:05.455061,0 days 00:02:48.380765,16,100000,0.98,0.0023640813113728243,medium,0.07124159666597328,normal,0.001,16,PRUNED
30,30,-149.9825452,2024-12-10 22:35:05.455331,2024-12-10 22:37:39.465379,0 days 00:02:34.010048,128,100000,0.98,5.1132152284264406e-05,medium,0.1450873392553213,normal,0.01,16,PRUNED
31,31,-149.4485292,2024-12-10 22:37:39.465637,2024-12-10 22:40:40.090451,0 days 00:03:00.624814,100,1000000,0.98,0.001530694916438224,medium,0.1384058660868691,normal,0.02,16,PRUNED
32,32,-144.3223702,2024-12-10 22:40:40.090700,2024-12-10 22:42:54.840841,0 days 00:02:14.750141,64,1000000,0.98,0.0002322992095547826,medium,0.2153136644839655,,0.02,256,COMPLETE
