#{"t_start": 1734263956.0946968, "env_id": "Pendulum-v1"}
r,l,t
-1749.759255,200,1.079666
-1722.469841,200,1.149376
-1173.002003,200,1.21944
-1169.746093,200,1.288836
-995.101869,200,1.360744
-957.730862,200,1.931418
-1352.925122,200,2.000796
-1146.697692,200,2.070499
-1745.322606,200,2.142584
-1296.969758,200,2.21201
-1070.604366,200,2.747796
-937.152486,200,2.817036
-899.165473,200,2.88902
-1621.021998,200,2.958851
-1472.810938,200,3.028169
-859.693808,200,3.556005
-1769.248367,200,3.62712
-902.184916,200,3.698702
-1626.475021,200,3.770092
-1432.926091,200,3.840283
-956.479728,200,4.634895
-1329.785013,200,4.705554
-943.165968,200,4.777459
-1259.344861,200,4.848839
-1214.175918,200,4.920469
-969.681088,200,5.462913
-1061.875307,200,5.532356
-973.57456,200,5.602245
-893.580276,200,5.673239
-1338.942148,200,5.742509
-1129.239559,200,6.271098
-1771.360526,200,6.340545
-1457.867164,200,6.411672
-1687.723776,200,6.481273
-1068.551066,200,6.551067
-1547.42808,200,7.081231
-1590.076389,200,7.152302
-1465.532598,200,7.221944
-1244.906415,200,7.291713
-942.107477,200,7.361516
-1173.212131,200,7.893555
-874.295442,200,7.963079
-1706.094729,200,8.0326
-1494.009105,200,8.102781
-1033.600613,200,8.174086
-1622.157175,200,8.705445
-907.939724,200,8.775781
-1479.208361,200,8.845492
-970.062917,200,8.917026
-1697.996364,200,8.986562
-976.35098,200,9.934606
-1628.528795,200,10.263132
-1312.365978,200,10.598171
-1511.365624,200,10.934975
-1736.948198,200,11.270316
-1685.174114,200,12.065956
-1213.947795,200,12.396902
-1712.89963,200,12.731323
-1554.763413,200,13.070839
-1669.72716,200,13.409213
-1453.285762,200,14.207461
-1547.947309,200,14.54238
-1827.49411,200,14.877969
-1526.761409,200,15.213003
-1839.407513,200,15.547581
-1668.185971,200,16.340437
-1680.048198,200,16.674489
-1826.132235,200,17.010206
-1868.950021,200,17.348894
-1530.685509,200,17.685375
-1887.033982,200,18.478599
-1626.35159,200,18.81564
-1585.721684,200,19.153888
-1861.44846,200,19.489565
-1802.639505,200,19.827783
-1661.852579,200,20.623983
-1622.37725,200,20.959827
-1722.303849,200,21.295952
-1809.409066,200,21.629737
-1632.236534,200,21.962723
-1691.813155,200,22.758938
-1837.101956,200,23.089049
-1552.928852,200,23.435631
-1615.882052,200,23.764369
-1675.468095,200,24.088793
-1680.178385,200,24.872482
-1632.310261,200,25.194494
-1703.043467,200,25.518379
-1480.684417,200,25.844305
-1450.184851,200,26.16892
-1672.458172,200,26.955024
-1354.707,200,27.27892
-1475.928626,200,27.604681
-1380.803274,200,27.931512
-1424.086458,200,28.25561
-1450.923142,200,29.043916
-1286.385964,200,29.375716
-1382.055177,200,29.698446
-1328.467209,200,30.020455
-1383.241754,200,30.343615
-1219.527248,200,31.146476
-1126.10462,200,31.469078
-1347.469924,200,31.794133
-1206.725915,200,32.117313
-1171.872077,200,32.446201
-1107.845276,200,33.245353
-1113.005378,200,33.569431
-1087.968402,200,33.891926
-975.47509,200,34.216114
-879.85873,200,34.538284
-1103.092817,200,35.551513
-977.508149,200,35.880484
-1020.295577,200,36.209864
-1107.530613,200,36.539303
-1063.62004,200,36.870886
-1255.243382,200,37.7742
-1076.460268,200,38.102962
-1158.540558,200,38.512078
-1062.983454,200,38.850271
-1102.067612,200,39.188339
-1035.468342,200,40.056608
-1230.089715,200,40.353966
-1207.624852,200,40.672161
-1207.731634,200,41.012621
-1237.468055,200,41.327916
