#{"t_start": 1734272263.2498379, "env_id": "Pendulum-v1"}
r,l,t
-1453.316284,200,1.087853
-1173.186499,200,1.155905
-866.638674,200,1.223576
-1767.263068,200,1.291327
-874.848217,200,1.361526
-870.784428,200,1.92787
-961.872281,200,1.995196
-1316.865649,200,2.064537
-899.499924,200,2.13433
-1002.95878,200,2.201567
-760.907208,200,2.734288
-958.92,200,2.801734
-1531.226105,200,2.870863
-1664.040893,200,2.938999
-1086.130447,200,3.006604
-1523.235484,200,3.532084
-1225.022648,200,3.600972
-1169.664612,200,3.668736
-1313.533419,200,3.736671
-899.883038,200,3.804136
-1629.611841,200,4.329879
-1632.069767,200,4.397815
-971.828605,200,4.465297
-1472.754324,200,4.533063
-1203.944927,200,4.601968
-1391.292215,200,5.140239
-970.752691,200,5.208089
-1448.227785,200,5.275665
-1482.471914,200,5.344878
-1174.456119,200,5.412683
-857.969604,200,5.939519
-879.573812,200,6.007358
-1762.428464,200,6.077887
-1204.130846,200,6.145617
-1619.36193,200,6.213093
-1043.137098,200,6.738025
-1020.88788,200,6.807443
-1726.37383,200,6.875143
-1458.203987,200,6.943414
-1647.678108,200,7.011271
-972.010345,200,7.537144
-1096.570607,200,7.604732
-1518.173255,200,7.672285
-1448.712182,200,7.740114
-1270.749714,200,7.809488
-979.700262,200,8.345003
-1095.852076,200,8.413655
-1414.17874,200,8.481358
-923.46348,200,8.55094
-1036.018216,200,8.618819
-1414.630267,200,9.401047
-1618.054359,200,9.565083
-1567.396716,200,9.722776
-1584.316377,200,9.887892
-1614.073574,200,10.045798
-1589.672994,200,10.725579
-1622.800313,200,10.891502
-1582.274368,200,11.049249
-1575.172134,200,11.216363
-1589.138868,200,11.372782
-1557.922215,200,11.992384
-1559.419798,200,12.150372
-1596.254314,200,12.316901
-1577.255703,200,12.474292
-1622.693547,200,12.640946
-1600.12931,200,13.261912
-1649.506172,200,13.419614
-1591.197899,200,13.584414
-1585.632073,200,13.74375
-1572.072011,200,13.907826
-1657.598548,200,14.519875
-1608.535336,200,14.684515
-1574.425884,200,14.846934
-1491.247138,200,15.002997
-1644.689782,200,15.16657
-1590.863563,200,15.7808
-1553.976864,200,15.946516
-1604.693142,200,16.120384
-1656.610469,200,16.288324
-1643.883369,200,16.446808
-1592.295751,200,17.067784
-1616.171003,200,17.232334
-1596.070692,200,17.389195
-1620.460226,200,17.55456
-1648.882846,200,17.712359
-1647.340783,200,18.333989
-1559.851878,200,18.490898
-1558.54316,200,18.655138
-1660.471052,200,18.820213
-1585.166551,200,18.977738
-1580.775731,200,19.598551
-1575.007319,200,19.755393
-1639.241928,200,19.920645
-1663.586648,200,20.080038
-1659.419591,200,20.244435
-1626.575106,200,20.858016
-1624.684565,200,21.024169
-1563.41782,200,21.192332
-1605.691515,200,21.350352
-1640.014704,200,21.515516
-1643.66336,200,22.219285
-1561.040117,200,22.385292
-1630.993095,200,22.545623
-1566.675481,200,22.711143
-1573.294496,200,22.877083
-1658.789644,200,23.5205
-1595.515405,200,23.689428
-1623.704447,200,23.847367
-1594.033635,200,24.014446
-1636.07975,200,24.17384
-1585.200148,200,24.835256
-1626.991031,200,24.994754
-1529.224991,200,25.160479
-1614.801607,200,25.32722
-1485.103062,200,25.486566
-1583.567429,200,26.204999
-1587.438231,200,26.364413
-1587.798338,200,26.528552
-1579.404891,200,26.687122
-1633.099742,200,26.850719
-1585.255519,200,27.476018
-1633.528666,200,27.631085
-1659.717993,200,27.792088
-1589.394756,200,27.947706
-1566.261268,200,28.111652
