#{"t_start": 1734262880.845293, "env_id": "Pendulum-v1"}
r,l,t
-1573.247819,200,1.092289
-1774.350922,200,1.162593
-1077.333477,200,1.232527
-969.10052,200,1.302198
-1632.867778,200,1.377692
-880.41213,200,1.966368
-1490.399147,200,2.039161
-1464.59654,200,2.110344
-865.676059,200,2.183862
-994.297115,200,2.255849
-1506.044257,200,2.802062
-1141.644452,200,2.874284
-1610.280496,200,2.948634
-860.036655,200,3.022808
-1255.684354,200,3.095258
-887.586842,200,3.643853
-1527.748765,200,3.715761
-1225.360391,200,3.788362
-966.969703,200,3.861742
-1179.777024,200,3.933246
-1738.898663,200,4.492204
-764.926186,200,4.564716
-1237.516436,200,4.636481
-1425.226919,200,4.708912
-1485.219348,200,4.783045
-1292.599941,200,5.4623
-1179.125823,200,5.535742
-1030.722485,200,5.609746
-1368.647231,200,5.683581
-1302.228849,200,5.756737
-1049.021761,200,6.308285
-1460.126165,200,6.38131
-961.032919,200,6.454967
-1256.852894,200,6.52702
-1611.014024,200,6.598753
-952.349335,200,7.153297
-1076.30234,200,7.2258
-869.919053,200,7.298562
-1484.786518,200,7.371128
-1080.747201,200,7.44391
-874.940695,200,7.994079
-1700.614057,200,8.066428
-989.403027,200,8.138473
-1479.288365,200,8.211017
-1490.524718,200,8.283809
-778.959911,200,8.833202
-1293.201721,200,8.905419
-792.643204,200,8.979089
-1515.150298,200,9.052539
-1131.546058,200,9.12464
-1581.895925,200,10.109365
-1284.870405,200,10.455148
-1446.804971,200,10.800648
-1448.0021,200,11.14761
-1474.109256,200,11.495551
-1663.648002,200,12.317474
-1435.989447,200,12.664592
-1665.383475,200,13.00932
-1701.690333,200,13.354725
-1855.203536,200,13.702515
-1671.30051,200,14.513765
-1380.350198,200,14.854408
-1520.644829,200,15.180971
-1468.306958,200,15.500595
-1521.054125,200,15.842193
-1465.48364,200,16.641872
-1259.360072,200,16.97959
-1344.131989,200,17.305734
-1072.799853,200,17.660441
-1209.889138,200,17.999034
-1118.707352,200,18.810877
-1182.624554,200,19.140811
-1165.425427,200,19.482455
-943.197046,200,19.821799
-1029.54994,200,20.14992
-1513.914017,200,20.959886
-914.853983,200,21.299696
-141.159676,200,21.638901
-920.416916,200,21.977902
-417.175103,200,22.304766
-391.293687,200,23.116119
-398.573075,200,23.461231
-654.349521,200,23.807344
-372.414296,200,24.145589
-216.77541,200,24.541039
-261.933008,200,25.370338
-261.847547,200,25.713714
-262.816376,200,26.054006
-922.157333,200,26.393736
-1.45688,200,26.738593
-313.413283,200,27.545508
-1.177573,200,27.891254
-1262.918697,200,28.232191
-121.61663,200,28.571894
-0.81943,200,28.91808
-120.429792,200,29.718106
-126.410612,200,30.063492
-131.19045,200,30.406829
-1184.610903,200,30.750197
-350.568835,200,31.088467
-391.33013,200,31.901528
-714.951483,200,32.244542
-118.948087,200,32.588966
-782.62524,200,32.934403
-1247.926613,200,33.279174
-119.165749,200,34.088476
-521.190014,200,34.430355
-128.109446,200,34.775115
-0.74161,200,35.103295
-0.650398,200,35.437809
-1.607885,200,36.392208
-118.293058,200,36.735959
-128.942328,200,37.076415
-127.343743,200,37.416633
-242.96209,200,37.759255
-233.941431,200,38.666298
-2.650029,200,39.0098
-243.057625,200,39.354556
-0.513578,200,39.743321
-128.544155,200,40.084694
-235.748202,200,40.93321
-228.184342,200,41.262796
-251.844607,200,41.604029
-239.808502,200,41.944793
-120.956752,200,42.285617
