,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,,2024-12-11 04:00:42.985530,2024-12-11 04:00:45.003081,0 days 00:00:02.017551,128,1000000,0.98,0.741770314574336,1000,-1.2212771495789023,medium,0.08,4,PRUNED
1,1,-1170.9680084,2024-12-11 04:00:45.003443,2024-12-11 04:03:50.087138,0 days 00:03:05.083695,16,10000,0.98,3.0979580160525174e-05,10000,-2.445070104266855,medium,0.005,4,COMPLETE
2,2,-199.82772519999997,2024-12-11 04:03:50.087649,2024-12-11 05:26:31.301799,0 days 01:22:41.214150,2048,100000,0.98,0.01514067896266551,1000,-0.9275632127605147,big,0.05,512,COMPLETE
3,3,,2024-12-11 05:26:31.302491,2024-12-11 05:26:32.989164,0 days 00:00:01.686673,128,10000,0.98,0.3037748322834375,0,-0.15774530542622722,small,0.01,256,PRUNED
4,4,-206.14288900000003,2024-12-11 05:26:32.989465,2024-12-11 05:53:34.742460,0 days 00:27:01.752995,1024,1000000,0.98,0.0007588595577385696,1000,-3.4733771796285966,medium,0.08,512,COMPLETE
5,5,,2024-12-11 05:53:34.743108,2024-12-11 05:53:42.518237,0 days 00:00:07.775129,64,100000,0.98,0.16211876309466444,20000,-2.0083003243791184,big,0.05,64,PRUNED
6,6,-205.85734779999999,2024-12-11 05:53:42.518556,2024-12-11 06:00:15.344437,0 days 00:06:32.825881,128,10000,0.98,0.00034207328183841055,10000,-3.966512481538212,big,0.005,4,COMPLETE
7,7,-720.3216856,2024-12-11 06:00:15.344946,2024-12-11 06:41:47.941610,0 days 00:41:32.596664,1024,10000,0.98,2.022323410151494e-05,0,-0.5731201508336161,big,0.08,256,COMPLETE
8,8,-209.3814972,2024-12-11 06:41:47.942310,2024-12-11 06:43:13.042665,0 days 00:01:25.100355,64,1000000,0.98,0.0008669778527549367,20000,-0.886519615755875,medium,0.01,1,COMPLETE
9,9,-210.09726719999998,2024-12-11 06:43:13.043149,2024-12-11 06:52:08.608204,0 days 00:08:55.565055,32,1000000,0.98,0.02156290451514205,0,-2.878660847548701,big,0.08,32,COMPLETE
10,10,-196.5264368,2024-12-11 06:52:08.608709,2024-12-11 07:09:00.256283,0 days 00:16:51.647574,256,100000,0.98,0.00245040478330128,1000,-2.2703035570646186,big,0.05,512,COMPLETE
11,11,-211.74791019999998,2024-12-11 07:09:00.256948,2024-12-11 07:15:52.377089,0 days 00:06:52.120141,16,100000,0.98,0.000530363229794137,1000,-1.3107247925407495,big,0.05,512,COMPLETE
12,12,,2024-12-11 07:15:52.377588,2024-12-11 07:16:04.841720,0 days 00:00:12.464132,2048,100000,0.98,0.9170722079823478,1000,0.02994998005607008,big,0.05,32,PRUNED
13,13,-198.7213348,2024-12-11 07:16:04.842159,2024-12-11 07:27:08.745611,0 days 00:11:03.903452,256,100000,0.98,0.021099630823807343,1000,-1.9943638606588747,medium,0.05,512,COMPLETE
14,14,-205.8586244,2024-12-11 07:27:08.746133,2024-12-11 07:38:24.541018,0 days 00:11:15.794885,256,100000,0.98,0.040262411210383084,0,-2.4533649979474683,medium,0.005,512,COMPLETE
15,15,-209.28209,2024-12-11 07:38:24.541543,2024-12-11 07:47:52.488854,0 days 00:09:27.947311,256,100000,0.98,0.0004803920636485792,1000,-3.4405396862121744,medium,0.05,256,PRUNED
16,16,-949.1057506,2024-12-11 07:47:52.489111,2024-12-11 08:03:23.755305,0 days 00:15:31.266194,256,10000,0.98,1.8446669052736592e-05,1000,-3.276674684512343,big,0.05,512,PRUNED
17,17,-1351.7214056,2024-12-11 08:03:23.755575,2024-12-11 08:14:14.870953,0 days 00:10:51.115378,256,100000,0.98,0.023006385768634514,1000,0.4423940392661794,medium,0.01,128,PRUNED
18,18,,2024-12-11 08:14:14.871202,2024-12-11 08:14:18.350676,0 days 00:00:03.479474,256,100000,0.98,0.31801947369513206,1000,-3.058312172653075,medium,0.05,128,PRUNED
19,19,-203.5168974,2024-12-11 08:14:18.351005,2024-12-11 08:29:52.835885,0 days 00:15:34.484880,512,10000,0.98,0.002166394667276442,1000,-1.7234721774385298,medium,0.05,512,COMPLETE
20,20,-201.8468512,2024-12-11 08:29:52.836482,2024-12-11 08:40:16.632999,0 days 00:10:23.796517,256,10000,0.98,0.0033579207398636702,10000,-1.7886427157040488,big,0.05,8,COMPLETE
21,21,-1471.7651535999998,2024-12-11 08:40:16.633545,2024-12-11 08:57:06.276967,0 days 00:16:49.643422,256,1000000,0.98,0.027273845025851513,1000,-2.785935261609095,big,0.01,512,PRUNED
22,22,-200.4486168,2024-12-11 08:57:06.277223,2024-12-11 08:57:59.726054,0 days 00:00:53.448831,256,100000,0.98,0.004818883155383444,20000,-1.3095314538652707,small,0.05,512,COMPLETE
