#{"t_start": 1734264214.4585571, "env_id": "Pendulum-v1"}
r,l,t
-707.581833,200,1.477196
-773.399884,200,1.768876
-1200.123018,200,2.066698
-1233.052353,200,2.361098
-923.312156,200,2.667168
-1453.508387,200,3.653752
-966.515795,200,3.944553
-1177.592658,200,4.23628
-1634.57017,200,4.550375
-890.267539,200,4.8575
-1128.387245,200,5.930086
-940.71288,200,6.221204
-1191.561279,200,6.53426
-1575.992677,200,6.846444
-1014.030665,200,7.14703
-961.501743,200,8.11878
-966.02778,200,8.435738
-1673.52099,200,8.748312
-1444.57844,200,9.052649
-1470.019282,200,9.360889
-1737.085324,200,10.362232
-1306.235211,200,10.676881
-978.407849,200,10.981121
-1589.358575,200,11.275503
-1332.22839,200,11.583521
-753.340428,200,12.567805
-1051.834225,200,12.878866
-1527.942199,200,13.17064
-1656.512371,200,13.47175
-1068.464567,200,13.759319
-1107.757462,200,14.734957
-1607.228203,200,15.036912
-1592.293756,200,15.366344
-1324.039789,200,15.677578
-1097.176444,200,15.984966
-1435.821629,200,16.979121
-1469.393964,200,17.303633
-1164.319087,200,17.61301
-1414.365462,200,17.921079
-1239.417348,200,18.229734
-1272.701073,200,19.237305
-1380.469668,200,19.544955
-1769.851306,200,19.855707
-1083.50669,200,20.16331
-1342.423922,200,20.488104
-1295.558998,200,21.493423
-1511.935882,200,21.800599
-1660.916021,200,22.10947
-1395.098414,200,22.434221
-1808.166136,200,22.742553
-1256.671229,200,23.734081
-1075.66496,200,24.046108
-1371.208269,200,24.372964
-1503.986395,200,24.68503
-1390.900639,200,24.996534
-1564.897112,200,26.000882
-1827.4338,200,26.329952
-1234.533202,200,26.650468
-1385.897847,200,26.968118
-1076.919433,200,27.280911
-1706.043997,200,28.302947
-1238.089218,200,28.619057
-1430.904642,200,28.931325
-1347.112123,200,29.244778
-1435.821826,200,29.579867
-1342.003959,200,30.598258
-1257.501854,200,30.94387
-1072.156586,200,31.260934
-1766.406461,200,31.592773
-1289.527185,200,31.9094
-1381.253593,200,32.966262
-1378.483633,200,33.283513
-1304.987977,200,33.614669
-1093.777432,200,33.929604
-1695.848265,200,34.245711
-1617.559164,200,35.326128
-1328.028403,200,35.656964
-1351.788907,200,36.006999
-1260.740199,200,36.322289
-1532.898359,200,36.640033
-1314.895392,200,37.720564
-1208.576228,200,38.035834
-1302.041101,200,38.352314
-1377.510696,200,38.669343
-1192.862997,200,39.002798
-1794.242902,200,40.078302
-1824.770489,200,40.39457
-1413.618663,200,40.712035
-1353.901718,200,41.043301
-1108.184099,200,41.360413
-1299.785655,200,42.456584
-1177.608323,200,42.77387
-1428.859331,200,43.106256
-1191.713962,200,43.421365
-1688.875832,200,43.738307
-1343.198213,200,44.856579
-1724.819521,200,45.188916
-1301.940331,200,45.505943
-1202.950739,200,45.822334
-1458.952336,200,46.210566
-1746.921288,200,47.337375
-1812.5477,200,47.652832
-1104.442716,200,47.969236
-1348.983223,200,48.285892
-1136.557852,200,48.620392
-1776.618384,200,49.663933
-1603.204353,200,49.978621
-1734.032997,200,50.293443
-1371.619049,200,50.62538
-1621.858848,200,50.941316
-1407.606514,200,52.135852
-1720.367342,200,52.453684
-1287.277599,200,52.785566
-1350.551252,200,53.104345
-1473.050903,200,53.419931
-1446.791468,200,54.507108
-1531.564849,200,54.839037
-1849.15979,200,55.154701
-1349.587251,200,55.472134
-1729.120126,200,55.78766
-1115.104645,200,56.897259
-1584.721649,200,57.213481
-1617.775916,200,57.530503
-1479.850009,200,57.847593
-1799.559714,200,58.178261
