#{"t_start": 1734272327.9408517, "env_id": "Pendulum-v1"}
r,l,t
-1377.621985,200,1.483165
-1494.934637,200,1.737832
-1495.176252,200,1.975331
-1507.872888,200,2.228235
-1676.897583,200,2.468967
-1492.588257,200,3.41897
-1620.144812,200,3.659191
-1496.593368,200,3.915125
-948.937032,200,4.172162
-1504.327293,200,4.410146
-1640.338748,200,5.420981
-1330.863293,200,5.658973
-1065.570846,200,5.913454
-1184.601277,200,6.151556
-1544.285781,200,6.404964
-1298.194987,200,7.395679
-1516.544644,200,7.651101
-1202.694317,200,7.904246
-1565.1549,200,8.142442
-1556.82838,200,8.398945
-1268.173762,200,9.318027
-1463.523726,200,9.577165
-1462.690778,200,9.816138
-1618.978592,200,10.06886
-1490.956249,200,10.324644
-1561.723873,200,11.238529
-1432.296068,200,11.492194
-1084.708934,200,11.730049
-1672.299023,200,11.983874
-1496.980002,200,12.22528
-834.441504,200,13.157001
-1496.149702,200,13.400214
-1394.79141,200,13.654628
-1589.951583,200,13.908585
-1391.004643,200,14.146896
-1333.42433,200,15.114324
-1601.857113,200,15.362737
-1104.204842,200,15.616317
-1265.802981,200,15.855515
