#{"t_start": 1734262972.1845822, "env_id": "Pendulum-v1"}
r,l,t
-871.77379,200,1.635298
-1730.18844,200,2.200704
-756.289573,200,2.773053
-1160.261856,200,3.339029
-1273.732216,200,3.906852
-1507.22656,200,5.161075
-1064.585321,200,5.726725
-1481.680024,200,6.290638
-1051.799062,200,6.860384
-1082.999362,200,7.424426
-1759.348831,200,8.674249
-1162.014867,200,9.241885
-1662.235362,200,9.810348
-1782.79041,200,10.378171
-1515.597897,200,10.946417
-1435.920418,200,12.188911
-1366.991227,200,12.758523
-1493.560906,200,13.327492
-1257.598179,200,13.901728
-1606.62131,200,14.469276
-1485.720243,200,15.709743
-1809.466423,200,16.275999
-1700.025329,200,16.844168
-1646.281092,200,17.414647
-1513.598909,200,17.984356
-1540.711858,200,19.222728
-1325.822659,200,19.796513
-1463.859904,200,20.363485
-1456.64332,200,20.935328
-1630.508527,200,21.500702
-1721.467559,200,22.740937
-1387.10794,200,23.308684
-1181.25457,200,23.879715
-1285.379116,200,24.447915
-1453.6812,200,25.020483
-1231.966395,200,26.269925
-1320.34725,200,26.839952
-1458.894779,200,27.411055
-1375.071623,200,27.980168
-1630.620649,200,28.549166
-1321.391312,200,29.791137
-1608.651015,200,30.359542
-1312.673794,200,30.932642
-1590.418472,200,31.500898
-1267.247758,200,32.071219
-1393.418827,200,33.310731
-1318.872464,200,33.879205
-1374.853627,200,34.449889
-1153.807535,200,35.019451
-1342.125438,200,35.586786
-1285.487915,200,37.234238
-1156.627651,200,37.810449
-1267.591959,200,38.390514
-1178.566433,200,38.965843
-1298.005716,200,39.54301
-1076.027427,200,41.316529
-1259.046215,200,41.897491
-1121.471698,200,42.479152
-875.251354,200,43.054834
-1094.264428,200,43.631932
-918.263849,200,45.159966
-1180.041244,200,45.741203
-958.111527,200,46.318523
-789.859876,200,46.889234
-1030.979297,200,47.459787
-988.712911,200,48.704542
-805.534523,200,49.279427
-924.172758,200,49.84805
-1009.21887,200,50.418336
-639.301691,200,50.990415
-1069.731169,200,52.658466
-946.684469,200,53.237315
-1044.197989,200,53.81732
-904.180286,200,54.400656
-897.953085,200,54.983088
-997.47466,200,56.409382
-901.788844,200,56.993517
-773.044458,200,57.574117
-911.683009,200,58.154399
-2.044225,200,58.73684
-252.389281,200,59.983939
-776.420522,200,60.55473
-933.334006,200,61.127079
-796.224068,200,61.701349
-952.887456,200,62.273706
-886.703945,200,63.601301
-816.257591,200,64.180305
-389.157676,200,64.762444
-770.676057,200,65.345071
-265.193873,200,65.925585
-132.829784,200,67.220754
-516.525889,200,67.801446
-264.289863,200,68.385724
-1048.116804,200,68.96671
-1.00168,200,69.546949
-645.930968,200,71.117264
-394.110827,200,71.788976
-127.972529,200,72.368792
-128.639809,200,72.948007
-257.662049,200,73.527493
-131.121971,200,74.893461
-392.038041,200,75.463166
-132.704821,200,76.034599
-386.528821,200,76.607509
-126.106322,200,77.180529
-248.370605,200,78.429525
-263.047827,200,79.011524
-5.362594,200,79.590778
-126.164099,200,80.170843
-1.793449,200,80.749953
-250.480881,200,82.1199
-125.098396,200,82.698678
-125.974291,200,83.277483
-272.364265,200,83.855449
-126.102139,200,84.437724
-0.963006,200,85.812366
-2.744705,200,86.406702
-1.455003,200,87.025892
-127.384462,200,87.614558
-242.807297,200,88.208311
-373.057774,200,89.509782
-3.041717,200,90.094515
-244.675681,200,90.679031
-121.391292,200,91.274044
-125.465393,200,91.85717
