,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
0,0,-170.1200988,2024-12-11 00:08:17.722009,2024-12-11 00:11:11.990525,0 days 00:02:54.268516,64,100000,0.98,0.0018775318726263963,medium,0.6559348983522968,ornstein-uhlenbeck,0.02,4,COMPLETE
1,1,-170.8590788,2024-12-11 00:11:11.991080,2024-12-11 00:14:00.511801,0 days 00:02:48.520721,32,1000000,0.98,0.0026249903524404113,medium,0.8833577828404736,normal,0.02,128,COMPLETE
2,2,-170.360041,2024-12-11 00:14:00.512301,2024-12-11 00:17:27.961716,0 days 00:03:27.449415,64,10000,0.98,0.002672179618714738,big,0.3664305545668013,,0.08,128,COMPLETE
3,3,-185.3450382,2024-12-11 00:17:27.962234,2024-12-11 00:20:45.696009,0 days 00:03:17.733775,128,10000,0.98,0.0015142425858563234,medium,0.23734062537868583,normal,0.08,1,COMPLETE
4,4,-192.4073262,2024-12-11 00:20:45.696499,2024-12-11 00:23:31.317484,0 days 00:02:45.620985,128,10000,0.98,0.00014390196417306261,medium,0.054978245108653456,normal,0.08,128,COMPLETE
5,5,-171.9675106,2024-12-11 00:23:31.317996,2024-12-11 00:47:46.683452,0 days 00:24:15.365456,2048,10000,0.98,0.0014079411350161363,medium,0.5204794195051874,normal,0.08,64,COMPLETE
6,6,-192.0553894,2024-12-11 00:47:46.684084,2024-12-11 00:50:37.524247,0 days 00:02:50.840163,128,10000,0.98,0.00027774426121725374,medium,0.6503170217209453,,0.05,16,COMPLETE
7,7,-169.4087716,2024-12-11 00:50:37.524761,2024-12-11 00:54:39.444947,0 days 00:04:01.920186,256,100000,0.98,0.0024691133479127587,medium,0.5804414787218183,ornstein-uhlenbeck,0.05,64,COMPLETE
8,8,-169.6634082,2024-12-11 00:54:39.445472,2024-12-11 00:56:11.781941,0 days 00:01:32.336469,512,10000,0.98,0.0006784032193071002,small,0.8688356967025642,ornstein-uhlenbeck,0.005,128,COMPLETE
9,9,-1366.388729,2024-12-11 00:56:11.782422,2024-12-11 01:01:25.338201,0 days 00:05:13.555779,128,10000,0.98,0.22131915973162364,medium,0.25435683432833955,,0.001,8,COMPLETE
10,10,-1154.0093768,2024-12-11 01:01:25.338680,2024-12-11 01:11:42.617633,0 days 00:10:17.278953,1024,100000,0.98,1.3062386587521335e-05,medium,0.9173636461721053,ornstein-uhlenbeck,0.05,64,PRUNED
11,11,-176.22103959999998,2024-12-11 01:11:42.617919,2024-12-11 01:13:13.338590,0 days 00:01:30.720671,512,10000,0.98,0.00024357384009888086,small,0.7599733921627285,ornstein-uhlenbeck,0.005,64,PRUNED
12,12,-168.52738959999996,2024-12-11 01:13:13.338844,2024-12-11 01:15:52.572342,0 days 00:02:39.233498,64,100000,0.98,0.0006531589679198859,medium,0.12799166680279606,ornstein-uhlenbeck,0.05,64,COMPLETE
13,13,-378.2991206,2024-12-11 01:15:52.572819,2024-12-11 01:18:04.916067,0 days 00:02:12.343248,64,100000,0.98,7.914790493416504e-05,medium,0.21978840605142275,,0.05,64,PRUNED
14,14,-1366.388729,2024-12-11 01:18:04.916327,2024-12-11 01:22:50.275401,0 days 00:04:45.359074,256,100000,0.98,0.03798258084695309,medium,0.376864575042945,ornstein-uhlenbeck,0.08,8,PRUNED
15,15,-168.1971248,2024-12-11 01:22:50.275661,2024-12-11 01:25:54.181599,0 days 00:03:03.905938,64,1000000,0.98,0.003914484372581664,medium,0.20915598759974188,ornstein-uhlenbeck,0.05,512,COMPLETE
16,16,-168.12323080000002,2024-12-11 01:25:54.182079,2024-12-11 01:29:23.796057,0 days 00:03:29.613978,128,1000000,0.98,0.004699570853226147,medium,0.19630032675515818,ornstein-uhlenbeck,0.05,256,COMPLETE
17,17,-170.1815434,2024-12-11 01:29:23.796542,2024-12-11 01:33:57.207835,0 days 00:04:33.411293,128,1000000,0.98,0.0015777169210989116,big,0.43986762313750466,ornstein-uhlenbeck,0.05,256,COMPLETE
18,18,-1366.388729,2024-12-11 01:33:57.208419,2024-12-11 01:37:23.532092,0 days 00:03:26.323673,32,1000000,0.98,0.019616401311253782,medium,0.06823071150712115,ornstein-uhlenbeck,0.05,512,PRUNED
19,19,-1498.5037548,2024-12-11 01:37:23.532346,2024-12-11 01:40:41.471660,0 days 00:03:17.939314,16,1000000,0.98,0.007883233764940947,medium,0.3348453592145615,ornstein-uhlenbeck,0.01,256,PRUNED
20,20,-170.9245954,2024-12-11 01:40:41.471991,2024-12-11 01:43:38.101328,0 days 00:02:56.629337,64,1000000,0.98,0.0032745907471952657,medium,0.636993894837569,ornstein-uhlenbeck,0.08,512,PRUNED
21,21,-173.7082058,2024-12-11 01:43:38.101572,2024-12-11 01:45:48.957360,0 days 00:02:10.855788,16,100000,0.98,0.0002760749238156303,medium,0.03614475260537013,ornstein-uhlenbeck,0.05,32,PRUNED
22,22,-169.2524848,2024-12-11 01:45:48.957603,2024-12-11 01:48:04.247283,0 days 00:02:15.289680,64,1000000,0.98,0.00024322482795084628,medium,0.030529982961703866,ornstein-uhlenbeck,0.02,64,COMPLETE
23,23,-168.14969100000002,2024-12-11 01:48:04.247779,2024-12-11 01:50:55.262813,0 days 00:02:51.015034,64,10000,0.98,0.002066217411568374,medium,0.0016839009041847153,ornstein-uhlenbeck,0.05,256,COMPLETE
24,24,-1366.388729,2024-12-11 01:50:55.263342,2024-12-11 01:54:54.400574,0 days 00:03:59.137232,64,10000,0.98,0.013387815679046051,big,0.21302304202544756,ornstein-uhlenbeck,0.05,256,PRUNED
25,25,-170.65758399999999,2024-12-11 01:54:54.400835,2024-12-11 01:57:07.490525,0 days 00:02:13.089690,32,10000,0.98,0.00024116346940292196,medium,0.10775789543077943,ornstein-uhlenbeck,0.05,256,PRUNED
26,26,-1498.5037548,2024-12-11 01:57:07.490778,2024-12-11 02:00:41.420029,0 days 00:03:33.929251,64,10000,0.98,0.013305851373270321,medium,0.06441057677435265,ornstein-uhlenbeck,0.05,4,PRUNED
27,27,-170.84499539999996,2024-12-11 02:00:41.420277,2024-12-11 02:02:32.561888,0 days 00:01:51.141611,1024,1000000,0.98,0.011211411761229733,small,0.07386142474271717,,0.05,256,PRUNED
28,28,-1498.5037548,2024-12-11 02:02:32.562128,2024-12-11 02:06:29.267622,0 days 00:03:56.705494,128,100000,0.98,0.028433213939968255,medium,0.2464655610216075,ornstein-uhlenbeck,0.005,256,PRUNED
29,29,-171.03045759999998,2024-12-11 02:06:29.267874,2024-12-11 02:16:56.475699,0 days 00:10:27.207825,1024,1000000,0.98,0.0006637341533445977,medium,0.3985640100135328,,0.05,512,PRUNED
30,30,-167.12878960000003,2024-12-11 02:16:56.475963,2024-12-11 02:18:16.287230,0 days 00:01:19.811267,64,1000000,0.98,0.0011129017239161613,small,0.05653466866216936,ornstein-uhlenbeck,0.08,256,COMPLETE
31,31,-170.2663128,2024-12-11 02:18:16.287716,2024-12-11 02:21:36.381649,0 days 00:03:20.093933,64,1000000,0.98,0.001142237687087271,big,0.04352839148785549,ornstein-uhlenbeck,0.08,512,PRUNED
32,32,-442.07282319999996,2024-12-11 02:21:36.381910,2024-12-11 02:22:52.203357,0 days 00:01:15.821447,64,1000000,0.98,0.0001354301251155205,small,0.029792756495946277,ornstein-uhlenbeck,0.08,256,PRUNED
33,33,-188.1917942,2024-12-11 02:22:52.203593,2024-12-11 02:26:06.330265,0 days 00:03:14.126672,128,1000000,0.98,0.0005770764210615699,medium,0.1732858874971929,ornstein-uhlenbeck,0.005,1,PRUNED
34,34,-170.07697159999998,2024-12-11 02:26:06.330527,2024-12-11 02:29:25.591902,0 days 00:03:19.261375,128,1000000,0.98,0.0033902548918220018,medium,0.0362958289377982,ornstein-uhlenbeck,0.05,16,COMPLETE
35,35,-1366.388729,2024-12-11 02:29:25.592412,2024-12-11 02:33:23.004268,0 days 00:03:57.411856,128,1000000,0.98,0.0428379983135386,medium,0.15789263170170098,normal,0.05,256,PRUNED
