#{"t_start": 1734271648.1972075, "env_id": "Pendulum-v1"}
r,l,t
-1204.219962,200,1.087368
-883.892184,200,1.154611
-1351.584965,200,1.221056
-1752.198523,200,1.290029
-1181.748282,200,1.358153
-1370.220329,200,1.949069
-995.634407,200,2.015693
-1325.659953,200,2.08266
-1076.335267,200,2.150094
-1699.123981,200,2.21565
-1309.78888,200,2.925296
-903.425725,200,2.992525
-1347.843438,200,3.06124
-1319.896463,200,3.12799
-873.165746,200,3.193802
-1185.277041,200,3.786294
-1462.72427,200,3.854356
-895.440801,200,3.921016
-1827.130305,200,4.09414
-1084.612146,200,4.161538
-962.68964,200,4.881501
-1292.323514,200,4.949162
-1289.943849,200,5.017324
-1030.753919,200,5.085282
-1503.899507,200,5.153257
-1069.316104,200,5.692129
-1660.616109,200,5.757161
-876.079361,200,5.822553
-1245.343438,200,5.889749
-1266.026829,200,5.955062
-1737.618471,200,6.491546
-970.353367,200,6.556978
-1167.143907,200,6.623785
-1518.849503,200,6.689083
-1396.43793,200,6.754445
-1093.15595,200,7.292124
-841.76179,200,7.359125
-1741.096914,200,7.424373
-1509.549685,200,7.4902
-769.602745,200,7.555885
-1461.385193,200,8.10067
-901.206624,200,8.165884
-1277.685233,200,8.231107
-1256.916405,200,8.296566
-1196.855069,200,8.363416
-1207.802656,200,8.899517
-1285.372176,200,8.965043
-874.525899,200,9.031857
-1164.210462,200,9.099128
-1718.474717,200,9.164737
-1468.799188,200,9.979563
-1614.140657,200,10.165644
-1637.826519,200,10.356507
-1654.812581,200,10.548946
-1213.240998,200,10.741708
-1515.300484,200,11.470029
-1490.295196,200,11.675055
-1618.910215,200,11.868486
-1659.371531,200,12.061833
-1648.81361,200,12.256071
-1656.692609,200,13.083747
-1171.250737,200,13.278167
-1012.652619,200,13.47152
-1037.711678,200,13.663612
-1156.23517,200,13.86758
-1585.814806,200,14.609055
-1649.119228,200,14.802271
-1171.072941,200,14.99621
-1593.832732,200,15.196505
-1507.378028,200,15.390424
-1498.116429,200,16.14331
-1626.992924,200,16.3322
-1155.716507,200,16.535295
-1192.5864,200,16.727885
-1645.644031,200,16.92027
-1659.800366,200,17.703565
-1510.573702,200,17.901742
-1259.539485,200,18.096385
-943.776841,200,18.28909
-1304.856773,200,18.482905
-851.264145,200,19.218028
-1512.152976,200,19.411847
-1069.457745,200,19.605251
-1509.94652,200,19.797518
-1664.266881,200,19.997014
-981.601611,200,20.688986
-1514.050569,200,20.881152
-1629.843631,200,21.075554
-1550.094791,200,21.280328
-1641.294524,200,21.47436
-1603.539734,200,22.216751
-1042.821065,200,22.40942
-1307.020974,200,22.609609
-1517.145283,200,22.802439
-1173.056359,200,22.995969
-1648.332333,200,23.798403
-1508.676214,200,23.998773
-1542.040954,200,24.189843
-1643.443406,200,24.378904
-1190.486408,200,24.569353
-1665.237957,200,25.237101
-1651.467397,200,25.427185
-1182.720197,200,25.617453
-1486.968582,200,25.806936
-1647.29554,200,26.007373
-1511.197243,200,26.671764
-1344.590572,200,26.858298
-1647.064539,200,27.046306
-1183.941557,200,27.238788
-1527.789778,200,27.425585
-1220.106566,200,28.0848
-1521.453313,200,28.270307
-1469.728146,200,28.466997
-1512.595565,200,28.654898
-1177.813994,200,28.84363
-1530.423896,200,29.572595
-1303.421384,200,29.769866
-1652.10247,200,29.963764
-1516.852855,200,30.1577
-1522.031358,200,30.351715
-1289.436508,200,31.083225
-1228.446154,200,31.272929
-1519.872212,200,31.462183
-1120.866057,200,31.650342
-1513.501773,200,31.842589
