#{"t_start": 1734272801.424738, "env_id": "Pendulum-v1"}
r,l,t
-866.732839,200,1.07948
-1646.903325,200,1.144595
-1241.151987,200,1.209245
-1425.168968,200,1.274247
-1577.270993,200,1.343138
-1291.208162,200,1.924596
-872.311741,200,1.989799
-1341.992601,200,2.05563
-1583.136638,200,2.122062
-1069.863473,200,2.186491
-1307.598997,200,2.7312
-1225.915278,200,2.796161
-1044.385146,200,2.862732
-867.562327,200,2.927559
-1190.390824,200,2.992045
-1599.223314,200,3.532045
-977.737944,200,3.598765
-989.2263,200,3.663752
-1112.969939,200,3.728667
-1327.992269,200,3.793911
-1332.274852,200,4.333469
-1585.118402,200,4.398741
-1363.33601,200,4.463451
-890.357363,200,4.529028
-899.115901,200,4.595816
-1153.332844,200,5.134487
-1471.089941,200,5.200383
-967.620522,200,5.266748
-922.880866,200,5.334872
-878.838636,200,5.401384
-1062.255549,200,6.091741
-1361.02334,200,6.158223
-1447.515835,200,6.226832
-1040.773976,200,6.292938
-1006.263282,200,6.359571
-922.252891,200,7.000473
-1082.520994,200,7.068825
-1724.061842,200,7.134965
-1070.996452,200,7.201606
-1135.666795,200,7.268407
-1360.609467,200,7.976215
-978.373265,200,8.042141
-1413.736622,200,8.108492
-1182.126791,200,8.174679
-1200.843749,200,8.242723
-1406.020603,200,8.861321
-1390.362088,200,8.927851
-881.023269,200,8.994523
-718.481075,200,9.062824
-1553.980115,200,9.129674
-1364.933206,200,9.94178
-1542.254091,200,10.133708
-902.313584,200,10.298874
-1397.816721,200,10.465295
-1586.646643,200,10.722068
-1186.951039,200,11.517839
-1618.028574,200,11.684903
-1581.643862,200,11.846522
-1265.700621,200,12.014798
-1521.697186,200,12.171894
-1662.094295,200,12.842767
-1621.960203,200,13.004754
-1639.589706,200,13.169289
-1389.56945,200,13.326312
-1653.209819,200,13.493311
-1588.445509,200,14.263603
-1611.727338,200,14.425399
-1600.977147,200,14.591212
-1513.599496,200,14.749174
-1629.241064,200,14.915359
-1153.238727,200,15.610497
-1085.004192,200,15.77668
-1441.286491,200,15.943167
-1563.189124,200,16.100982
-1075.872493,200,16.267671
-1516.273129,200,17.027324
-1519.055595,200,17.195834
-1517.881426,200,17.353043
-1521.395872,200,17.519115
-1601.032948,200,17.680665
-1360.58652,200,18.445261
-1647.768849,200,18.610942
-1656.664346,200,18.769037
-1148.570666,200,18.933728
-1375.133648,200,19.097838
-1664.232425,200,19.797432
-1506.250513,200,19.970479
-1663.661335,200,20.148051
-1512.230072,200,20.32467
-1590.474642,200,20.485975
-1412.903113,200,21.194374
-1231.216178,200,21.35076
-1606.44061,200,21.5188
-1631.434345,200,21.680454
-866.576033,200,21.846545
-1380.824805,200,22.561296
-1589.541427,200,22.729134
-1641.639838,200,22.894697
-1054.533605,200,23.055663
-1525.036608,200,23.221253
-1592.445104,200,23.968006
-1053.694206,200,24.134879
-1595.39043,200,24.297009
-1175.697551,200,24.461738
-1252.205788,200,24.629891
-1665.420144,200,25.319335
-1631.073695,200,25.485439
-1314.410574,200,25.780212
-1557.472804,200,25.947819
-1660.331017,200,26.10678
-1521.110274,200,26.798665
-1506.593479,200,26.95946
-1594.807465,200,27.128142
-943.667852,200,27.295187
-1355.578516,200,27.452234
-1052.845163,200,28.094311
-1508.386685,200,28.255617
-1284.348031,200,28.41832
-1634.809806,200,28.571657
-1596.548064,200,28.735212
-1520.809512,200,29.371121
-1378.837778,200,29.529968
-1529.522598,200,29.692899
-1654.813236,200,29.84647
-1119.675805,200,30.011546
