#{"t_start": 1734262166.9828613, "env_id": "Pendulum-v1"}
r,l,t
-863.220695,200,1.0975
-1594.759192,200,1.167885
-1180.950568,200,1.236438
-985.245256,200,1.306141
-992.882955,200,1.377084
-874.006612,200,1.990085
-1794.329849,200,2.059028
-1562.371079,200,2.128431
-1284.174762,200,2.198473
-1693.168735,200,2.266757
-1229.206456,200,2.904833
-764.295669,200,2.974022
-1494.016141,200,3.043264
-1453.170966,200,3.111875
-1453.586453,200,3.181494
-945.269461,200,3.815441
-1088.675579,200,3.884658
-1512.994541,200,3.95275
-1381.275176,200,4.021735
-1167.925811,200,4.09089
-1289.170856,200,4.721916
-1560.197302,200,4.79106
-1301.020331,200,4.859411
-877.220336,200,4.928016
-889.120393,200,4.997147
-784.10751,200,5.804804
-1069.670342,200,5.873652
-1178.608737,200,5.942369
-1262.272538,200,6.011613
-1625.612118,200,6.080798
-884.238596,200,6.794441
-1621.057939,200,6.86243
-964.435332,200,6.931179
-1410.317628,200,7.000007
-1428.776798,200,7.06813
-1610.753784,200,7.790954
-1326.720549,200,7.86385
-867.802778,200,7.93544
-1481.077704,200,8.004776
-1272.732658,200,8.07416
-1153.457633,200,8.690711
-977.631724,200,8.759
-853.294003,200,8.82787
-832.356257,200,8.896849
-769.287433,200,8.966791
-919.603401,200,9.663163
-1541.405731,200,9.731735
-1776.491602,200,9.800064
-1097.516703,200,9.868935
-1610.863411,200,9.937236
-1701.829771,200,10.844628
-1473.041715,200,11.04138
-1560.53539,200,11.208261
-1643.657197,200,11.377695
-1518.648963,200,11.538837
-1633.290171,200,12.254713
-1453.94821,200,12.425529
-1561.638638,200,12.589865
-1566.088015,200,12.807607
-1609.494572,200,12.967748
-1651.746301,200,13.764661
-1563.132172,200,13.929967
-1575.64408,200,14.100609
-1620.035922,200,14.261246
-1631.003432,200,14.43255
-1591.650304,200,15.118884
-1654.953247,200,15.28521
-1551.004832,200,15.455742
-1551.743623,200,15.617748
-1580.933904,200,15.789066
-1601.45582,200,16.46236
-1633.596226,200,16.631566
-1577.255271,200,16.80453
-1651.4578,200,16.965138
-1541.496968,200,17.135846
-1214.895531,200,17.914932
-1642.393108,200,18.086645
-1533.157279,200,18.247032
-1653.400884,200,18.417853
-1600.267706,200,18.583478
-1607.852734,200,19.271835
-1807.613793,200,19.441562
-1699.465849,200,19.602882
-1625.134644,200,19.772775
-1543.04065,200,19.939164
-1884.795073,200,20.701113
-1744.282126,200,20.859711
-1627.52999,200,21.028974
-1639.02809,200,21.199125
-1715.185355,200,21.363049
-1612.633123,200,22.027414
-1623.030748,200,22.186884
-1476.687024,200,22.357383
-1648.48715,200,22.521576
-1621.455377,200,22.691355
-1552.664327,200,23.346983
-1587.32724,200,23.516345
-1614.948236,200,23.686305
-1625.04996,200,23.850369
-1569.602425,200,24.019515
-1399.068319,200,24.673233
-1612.012616,200,24.841891
-1555.261564,200,25.006317
-1626.423999,200,25.176494
-1620.002359,200,25.345755
-1474.913954,200,26.051403
-1646.737901,200,26.223013
-1578.119295,200,26.388487
-1617.988562,200,26.559867
-1685.252666,200,26.722813
-1653.387358,200,27.501711
-1724.663697,200,27.669746
-1745.452882,200,27.841255
-1777.680083,200,28.013396
-1639.505356,200,28.176828
-1695.305702,200,28.855356
-1720.672476,200,29.024495
-1650.961238,200,29.197663
-1648.725326,200,29.360164
-1642.985636,200,29.53277
-1631.968776,200,30.203753
-1637.09868,200,30.369068
-1551.418559,200,30.540248
-1582.807121,200,30.698716
-1491.582633,200,30.866282
